지점	카테고리	조닝	브랜드	매장유형	평수	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률
중계점	남성의류(특정매입)	신사캐쥬얼	피에르가르뎅(신사캐주얼)	복합	7.6	17,524,000	25,939,000	113768	25,475,000	111732	13,209,000	57934	11,204,000	-36.1%	12,508,400	-51.8%
중계점	남성의류(특정매입)	신사캐쥬얼	피에이티(PAT)	상설	11.5	25,283,148	30,160,760	87422	34,446,400	99845	30,903,160	89574	27,829,580	10.1%	38,124,700	26.4%
중계점	남성의류(특정매입)	신사캐쥬얼	바쏘옴므	#N/A	9.1	18,531,610	15,243,710	55838	15,943,510	58401	10,972,860	40194	12,516,460	-32.5%	16,166,830	6.1%
중계점	남성의류(특정매입)	신사캐쥬얼	에디션	정상	8.9	18,704,060	32,312,950	120625	26,658,470	99516	14,523,070	54215	25,151,560	34.5%	33,509,425	3.7%
중계점	남성의류(특정매입)	골프	디즈니골프	정상	8.6		6,771,300	26312	12,097,840	47009	9,665,000	37556	11,025,800	-		-100.0%
중계점	남성의류(특정매입)	골프	팬텀	복합	9.0		21,750,302	80582	32,872,200	121787	20,294,107	75187	28,156,790	-	44,080,880	102.7%
중계점	남성의류(특정매입)	골프	루이까스텔	상설	12.7		57,650,500	151726	51,847,600	136454	33,537,400	88265		-		-100.0%
중계점	남성의류(특정매입)	골프	벤제프골프	정상	8.8		11,522,270	43755	15,986,390	60707	10,095,360	38337	4,677,900	-	350,000	-97.0%
중계점	아동의류(특정매입)	유아	아가방	정상	10.5	50,607,430	54,396,360	172687	47,957,830	152247	30,399,330	96506	40,684,580	-19.6%	49,806,610	-8.4%
중계점	아동의류(특정매입)	스포츠키즈	아디다스키즈	정상	7.3	16,077,900	10,917,400	49851	14,901,100	68042	8,926,000	40758	7,786,500	-51.6%	7,133,000	-34.7%
중계점	아동의류(특정매입)	스포츠키즈	휠라키즈	정상	16.3	34,593,300	23,721,200	48510	21,346,900	43654	13,055,810	26699	35,012,990	1.2%	24,255,700	2.3%
중계점	아동의류(특정매입)	토들러	베네통키즈	상설	7.0	32,664,900	24,119,500	115591	41,801,400	200331	17,090,100	81903	25,431,600	-22.1%	19,407,800	-19.5%
중계점	아동의류(특정매입)	스포츠키즈	뉴발란스키즈	정상	17.9	61,604,200	50,669,400	94356	46,300,830	86221	31,673,490	58982	54,506,680	-11.5%	54,279,920	7.1%
중계점	아동의류(특정매입)	스포츠키즈	블랙야크키즈	복합	8.6	18,067,160	16,446,500	63896	15,116,000	58727	7,321,700	28445	24,535,200	35.8%	25,506,900	55.1%
중계점	아동의류(특정매입)	스포츠키즈	플레이키즈프로	정상	8.7	35,334,520	23,046,200	88300	24,455,260	93698	18,676,855	71559	35,298,100	-0.1%	33,058,830	43.4%
중계점	아동의류(특정매입)	유아	앙팡스(압소바)	정상	10.2	28,372,220	34,570,080	112974	29,646,050	96883	18,422,760	60205	23,857,740	-15.9%	33,804,400	-2.2%
중계점	아동의류(특정매입)	주니어	폴햄키즈	정상	8.6	34,382,150	24,020,740	93104	22,630,500	87715	18,520,300	71784	34,024,400	-1.0%	40,046,250	66.7%
중계점	아동의류(특정매입)	주니어	탑텐키즈	정상	18.9	52,366,010	54,559,748	96225	46,031,335	81184	28,246,303	49817	50,358,170	-3.8%	44,496,050	-18.4%
중계점	아동의류(특정매입)	스포츠키즈	NBA키즈	정상	9.7	14,421,300	11,362,150	39045	7,671,550	26363	3,948,100	13567	14,001,800	-2.9%	14,757,600	29.9%
중계점	아동의류(특정매입)	주니어	스파오키즈	정상	11.0	78,455,400	53,059,900	160788	38,776,400	117504	22,667,700	68690	48,367,700	-38.4%	51,308,800	-3.3%
중계점	아동의류(특정매입)	주니어	행텐틴즈	정상	8.4	25,209,400	25,127,400	99712	28,217,585	111975	15,140,660	60082	33,817,800	34.1%	33,826,530	34.6%
중계점	여성의류(특정)NC	여성캐릭터	데코	상설	13.5	33,371,000	24,082,000	59462	25,071,000	61904	21,915,000	54111	35,396,000	6.1%	25,028,000	3.9%
중계점	여성의류(특정)NC	여성커리어	쉬즈미스	정상	13.5	79,859,300	97,790,100	241457	80,016,998	197573	55,046,900	135918	81,033,900	1.5%	80,051,480	-18.1%
중계점	여성의류(특정)NC	여성커리어	요하넥스	복합	11.3	24,150,900	17,138,600	50556	23,020,600	67907	20,875,480	61580	34,205,100	41.6%	20,443,600	19.3%
중계점	여성의류(특정)NC	여성캐릭터	린	상설	16.1	13,039,200	28,364,900	58727	23,240,500	48117	24,636,500	51007	11,524,100	-11.6%	25,358,400	-10.6%
중계점	여성의류(특정)NC	여성캐릭터	모조에스핀	상설	25.1	40,037,250	57,668,360	76585	31,242,100	41490	20,618,520	27382	31,271,550	-21.9%	49,939,540	-13.4%
중계점	여성의류(특정)NC	여성커리어	미샤(커리어)	상설	24.2	78,002,780	63,242,000	87110	65,775,260	90600	78,069,950	107534	61,159,560	-21.6%	64,634,760	2.2%
중계점	여성의류(특정)NC	여성커리어	발렌시아	정상	12.1	13,513,000	15,312,800	42184	17,366,800	47842	14,536,200	40045	29,051,000	115.0%	15,536,400	1.5%
중계점	여성의류(특정)NC	여성TD	비씨비지	상설	11.5	53,791,000	45,417,000	131643	48,729,000	141243	47,067,000	136426	46,079,000	-14.3%	74,677,000	64.4%
중계점	여성의류(특정)NC	여성커리어	엠씨	복합	12.1			0	1,109,700	3057	20,498,150	56469	38,395,200	-	32,136,800	-
중계점	여성의류(특정)NC	여성TD	기비/키이스	상설	11.5	24,607,000	31,518,000	91357	25,080,000	72696	14,868,100	43096	27,599,844	12.2%	28,175,090	-10.6%
중계점	여성의류(특정)NC	여성커리어	케이엘	정상	8.1	28,342,150	34,669,900	142674	29,364,250	120841	29,060,000	119588	35,119,450	23.9%	42,300,550	22.0%
중계점	여성의류(특정)NC	여성커리어	보니스팍스		8.9	40,065,400	41,062,900	153794	45,004,200	168555	33,045,000	123764	43,008,600	7.3%	48,064,200	17.1%
중계점	스포츠(특정)NC	스포츠	나이키(NIKE)	#N/A	20.3			0		0		0	5,418,560	-	16,691,560	-
