지점	카테고리	조닝	브랜드	매장유형	평수	25년 1월 매출	25년 2월 매출	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	25년 7월 매출	25년 8월 매출	25년 9월 매출	25년 10월 매출	25년 11월 매출	25년 12월 매출	26년 1월 매출	26년 2월 매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률	26년 5월 매출
중계점	남성의류(특정매입)	신사정장	파크랜드(PARKLAND)	복합	8.8	14,803,000	11,747,700	13,687,500	21,655,300	82,028	20,006,500	75,782	12,173,800	46,113	11,511,800	10,006,900	15,235,900	20,431,600	22,743,400	20,031,200	14,136,600	15,210,000	18,399,500	34.43%	17,657,700	-18.46%	18,545,500
중계점	남성의류(특정매입)	신사캐쥬얼	파렌하이트	데이터 부재	7.9	22,215,400	30,490,730	29,675,800	23,953,300	101,069	23,641,000	99,751	19,714,199	83,182	10,441,330	16,382,400	18,126,900	32,629,800	40,006,400	25,502,800	23,550,700	25,349,140	26,040,200	-12.25%	24,772,800	3.42%	27,393,100
중계점	남성의류(특정매입)	신사정장	트루젠(TRUGEN)	데이터 부재	7.6	7,925,350	5,262,590	9,316,600		0		0		0										-100.00%		-	
중계점	남성의류(특정매입)	신사정장	로가디스	정상	12.1	39,318,040	32,437,960	29,397,920	35,931,740	98,986	40,952,440	112,817	29,516,970	81,314	25,727,360	18,516,610	28,205,300	47,374,860	63,006,680	36,570,790	51,892,310	35,275,620	19,466,640	-33.78%	56,948,200	58.49%	57,759,370
중계점	남성의류(특정매입)	신사정장	브렌우드	정상	9.1	40,169,243	43,848,626	58,717,142	56,291,184	206,195	57,982,063	212,389	41,290,709	151,248	32,654,575	27,772,060	39,316,621	63,712,280	67,523,740	54,038,240	41,015,980	44,109,070	57,443,240	-2.17%	64,110,460	13.89%	75,735,040
중계점	남성의류(특정매입)	신사정장	레노마옴므	복합	10.3	31,156,000	27,789,000	47,016,800	41,041,600	132,821	43,024,400	139,238	30,279,600	97,992	19,288,000	21,819,000	28,983,000	39,035,700	55,163,400	49,553,000	36,133,000	30,481,800	40,761,600	-13.30%	35,621,400	-13.21%	39,800,400
중계점	남성의류(특정매입)	신사TD	올젠	정상	11.5	15,057,420	19,663,440	25,693,010	36,105,230	104,653	40,468,930	117,301	46,958,090	136,110	31,262,840	25,377,110	22,781,980	52,999,640	63,368,160	52,748,866	31,773,840	33,526,460	54,130,260	110.68%	64,598,600	78.92%	62,136,742
중계점	남성의류(특정매입)	신사캐쥬얼	지오지아	정상	16.0	37,477,260	32,459,300	50,116,620	36,224,990	75,469	38,133,880	79,446	38,373,270	79,944	22,880,900	27,610,970	27,987,730	46,893,170	58,024,510	44,499,460	36,859,800	27,980,300	38,349,590	-23.48%	34,296,344	-5.32%	49,477,900
중계점	남성의류(특정매입)	신사캐쥬얼	킨록2	복합	7.9					0	14,112,960	59,726	10,148,900	42,950	5,423,200	4,977,200	8,071,500	16,722,400	7,830,770	5,094,670	3,965,900	2,106,000	272,000	-		-	
중계점	남성의류(특정매입)	신사캐쥬얼	피에르가르뎅(신사캐주얼)	복합	7.6	19,109,000	12,495,200	17,524,000	25,939,000	113,768	25,475,000	111,732	13,209,000	57,934	10,714,900	6,174,000	9,265,200	22,816,800	31,823,800	27,077,400	16,741,200	5,584,800	11,204,000	-36.06%	12,508,400	-51.78%	12,769,000
